# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
CTNNB1	ENSG00000168036	ENST00000396183	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000396185	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000405570	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000426215	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000431914	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000433400	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000450969	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000453024	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNND2	ENSG00000169862	ENST00000304623	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNND2	ENSG00000169862	ENST00000359640	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNND2	ENSG00000169862	ENST00000458100	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNND2	ENSG00000169862	ENST00000495388	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNND2	ENSG00000169862	ENST00000503622	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNND2	ENSG00000169862	ENST00000504499	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNND2	ENSG00000169862	ENST00000506324	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNND2	ENSG00000169862	ENST00000511377	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CTNND2	ENSG00000169862	ENST00000513588	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CUBN	ENSG00000107611	ENST00000377833	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CXADR	ENSG00000154639	ENST00000400169	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CXorf21	ENSG00000120280	ENST00000378962	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CXorf56	ENSG00000018610	ENST00000320339	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CXorf56	ENSG00000018610	ENST00000371594	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CXorf56	ENSG00000018610	ENST00000536133	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CXorf67	ENSG00000187690	ENST00000342995	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CYP19A1	ENSG00000137869	ENST00000260433	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CYP19A1	ENSG00000137869	ENST00000396402	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000396404	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000405011	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000439712	non_stop_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000453807	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000492852	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000557858	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000557934	non_stop_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000558328	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000559980	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	ENSG00000137869	ENST00000561075	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAAM1	ENSG00000100592	ENST00000351081	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAAM1	ENSG00000100592	ENST00000360909	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAAM1	ENSG00000100592	ENST00000395125	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAAM1	ENSG00000100592	ENST00000556135	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAB1	ENSG00000173406	ENST00000371234	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAB1	ENSG00000173406	ENST00000485760	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH1	ENSG00000165659	ENST00000305425	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH1	ENSG00000165659	ENST00000313174	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH1	ENSG00000165659	ENST00000354591	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH1	ENSG00000165659	ENST00000359684	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH2	ENSG00000126733	ENST00000373125	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH2	ENSG00000126733	ENST00000373131	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH2	ENSG00000126733	ENST00000461604	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH2	ENSG00000126733	ENST00000506327	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH2	ENSG00000126733	ENST00000508860	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACH2	ENSG00000126733	ENST00000510272	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACT3	ENSG00000197380	ENST00000300875	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DACT3	ENSG00000197380	ENST00000391916	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACT3	ENSG00000197380	ENST00000410105	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DACT3-AS1	ENSG00000245598	ENST00000500689	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DACT3-AS1	ENSG00000245598	ENST00000525008	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DACT3-AS1	ENSG00000245598	ENST00000525352	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DAGLB	ENSG00000164535	ENST00000297056	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAGLB	ENSG00000164535	ENST00000421761	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAGLB	ENSG00000164535	ENST00000425398	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAGLB	ENSG00000164535	ENST00000428902	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAGLB	ENSG00000164535	ENST00000436575	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAGLB	ENSG00000164535	ENST00000454738	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAGLB	ENSG00000164535	ENST00000462934	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAGLB	ENSG00000164535	ENST00000482149	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DAGLB	ENSG00000164535	ENST00000497308	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DBF4	ENSG00000006634	ENST00000265728	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DBF4	ENSG00000006634	ENST00000413643	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DBF4	ENSG00000006634	ENST00000430279	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DBF4	ENSG00000006634	ENST00000431138	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DBF4	ENSG00000006634	ENST00000486925	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
DBF4	ENSG00000006634	ENST00000498144	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DDX59	ENSG00000118197	ENST00000331314	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DDX59	ENSG00000118197	ENST00000367348	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DDX59	ENSG00000118197	ENST00000429498	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DDX59	ENSG00000118197	ENST00000436897	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
DDX59	ENSG00000118197	ENST00000447706	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DEAF1	ENSG00000177030	ENST00000525626	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DEAF1	ENSG00000177030	ENST00000526857	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DEFB106B	ENSG00000187082	ENST00000335479	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
DEFB108P3	ENSG00000255544	ENST00000527787	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DERA	ENSG00000023697	ENST00000428559	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DERA	ENSG00000023697	ENST00000526521	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DERA	ENSG00000023697	ENST00000526530	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DERA	ENSG00000023697	ENST00000528821	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DERA	ENSG00000023697	ENST00000530274	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DERA	ENSG00000023697	ENST00000531803	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DERA	ENSG00000023697	ENST00000532573	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DERA	ENSG00000023697	ENST00000532964	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DERA	ENSG00000023697	ENST00000533447	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DGKB	ENSG00000136267	ENST00000258767	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DGKB	ENSG00000136267	ENST00000399322	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DGKB	ENSG00000136267	ENST00000402815	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DGKB	ENSG00000136267	ENST00000403951	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DGKB	ENSG00000136267	ENST00000403963	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DGKB	ENSG00000136267	ENST00000406247	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DGKB	ENSG00000136267	ENST00000407950	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DGKB	ENSG00000136267	ENST00000444700	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DHTKD1	ENSG00000181192	ENST00000263035	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DHTKD1	ENSG00000181192	ENST00000479283	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DHX37	ENSG00000150990	ENST00000308736	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DHX37	ENSG00000150990	ENST00000539298	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DHX37	ENSG00000150990	ENST00000544745	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DHX40P1	ENSG00000266992	ENST00000588725	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DHX57	ENSG00000163214	ENST00000295373	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DHX57	ENSG00000163214	ENST00000452978	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DHX57	ENSG00000163214	ENST00000457308	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DHX57	ENSG00000163214	ENST00000460193	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DIAPH2	ENSG00000147202	ENST00000324765	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DIAPH2	ENSG00000147202	ENST00000355827	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DIAPH2	ENSG00000147202	ENST00000373049	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DIAPH2	ENSG00000147202	ENST00000373054	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DIAPH2	ENSG00000147202	ENST00000373061	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DIRC3	ENSG00000231672	ENST00000474063	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DIRC3	ENSG00000231672	ENST00000486365	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DISP1	ENSG00000154309	ENST00000284476	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DISP1	ENSG00000154309	ENST00000360254	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DISP1	ENSG00000154309	ENST00000495684	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000280241	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000330014	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000376104	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000376106	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000398301	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000398309	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000418306	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000472545	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000524982	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000527466	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000529111	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000529401	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000531015	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000532653	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000537455	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000543673	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000315677	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000400145	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000400147	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000400149	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000400150	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000400155	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000478161	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000485480	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000498188	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000515196	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000534970	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000539435	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000581527	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000581699	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP1	ENSG00000170579	ENST00000584874	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DLGAP4	ENSG00000080845	ENST00000373913	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000288447	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DMD	ENSG00000198947	ENST00000343523	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000357033	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DMD	ENSG00000198947	ENST00000358062	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000359836	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000378677	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DMD	ENSG00000198947	ENST00000378707	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000420596	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000447523	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000448370	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000474231	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000488902	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMD	ENSG00000198947	ENST00000541735	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DMGDH	ENSG00000132837	ENST00000520388	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DNAH12	ENSG00000174844	ENST00000311202	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DNAH12	ENSG00000174844	ENST00000351747	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DNAH12	ENSG00000174844	ENST00000389536	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DNAH12	ENSG00000174844	ENST00000495027	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DNAH3	ENSG00000158486	ENST00000261383	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DNAH3	ENSG00000158486	ENST00000415178	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DNAJC3	ENSG00000102580	ENST00000376795	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DNAJC3	ENSG00000102580	ENST00000602402	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DNMBP	ENSG00000107554	ENST00000324109	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DNMBP	ENSG00000107554	ENST00000342239	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000310323	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000393146	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000393147	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000409163	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000410059	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000419287	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000429914	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000436732	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000461250	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000486885	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DPP10	ENSG00000175497	ENST00000488208	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DUS3L	ENSG00000141994	ENST00000309061	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DUX4L15	ENSG00000235950	ENST00000536415	unprocessed_pseudogene	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DUX4L15	ENSG00000235950	ENST00000557077	unprocessed_pseudogene	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000260605	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000378587	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000398823	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000406852	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000443170	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000462426	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000479242	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000489222	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000496980	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
DYNC2LI1	ENSG00000138036	ENST00000605786	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ECD	ENSG00000122882	ENST00000372979	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ECD	ENSG00000122882	ENST00000494307	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
EEF1A2	ENSG00000101210	ENST00000217182	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
EEF1A2	ENSG00000101210	ENST00000298049	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
EEFSEC	ENSG00000132394	ENST00000254730	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EEFSEC	ENSG00000132394	ENST00000483457	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EEFSEC	ENSG00000132394	ENST00000484438	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000262726	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000358439	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000396231	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000468552	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
EGFLAM	ENSG00000164318	ENST00000322350	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EGFLAM	ENSG00000164318	ENST00000336740	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EGFLAM	ENSG00000164318	ENST00000354891	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EGFLAM	ENSG00000164318	ENST00000397202	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EGFLAM	ENSG00000164318	ENST00000397210	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
EGFLAM	ENSG00000164318	ENST00000506135	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
EGFLAM	ENSG00000164318	ENST00000508131	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
EGFLAM	ENSG00000164318	ENST00000508868	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
EHBP1	ENSG00000115504	ENST00000263991	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EHBP1	ENSG00000115504	ENST00000354487	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EHBP1	ENSG00000115504	ENST00000405015	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EHBP1	ENSG00000115504	ENST00000405289	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EHBP1	ENSG00000115504	ENST00000405482	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EHBP1	ENSG00000115504	ENST00000413434	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EHBP1	ENSG00000115504	ENST00000426940	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EHBP1	ENSG00000115504	ENST00000431489	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EHBP1	ENSG00000115504	ENST00000449820	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EHBP1	ENSG00000115504	ENST00000494958	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
EIF1AY	ENSG00000198692	ENST00000361365	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
EIF1AY	ENSG00000198692	ENST00000382772	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
